ligne,station,ordre,correspondance,station_norm
METRO 6,Denfert-Rochereau,14,"METRO 4, RER B, METRO 6",denfert rochereau
METRO 6,Saint-Jacques,15,,saint jacques
METRO 6,Glacière,16,,glaciere
METRO 6,Corvisart,17,,corvisart
METRO 6,Place d'Italie,18,"METRO 5, METRO 7",place d'italie
METRO 6,Nationale,19,,nationale
METRO 6,Chevaleret,20,,chevaleret
METRO 6,Quai de la Gare,21,,quai de la gare
METRO 6,Bercy,22,,bercy
METRO 6,Dugommier,23,,dugommier
METRO 6,Daumesnil,24,"METRO 8, METRO 6",daumesnil
METRO 6,Bel-Air,25,,bel air
METRO 6,Picpus,26,,picpus
METRO 6,Nation,27,"RER A, METRO 1, METRO 2, METRO 6, METRO 9",nation
METRO 7 1,La Courneuve – 8 Mai 1945,1,,la courneuve 8 mai 1945
METRO 7 1,Fort d’Aubervilliers,2,,fort d'aubervilliers
METRO 7 1,Aubervilliers – Pantin – Quatre Chemins,3,,aubervilliers pantin quatre chemins
METRO 7 1,Porte de la Villette,4,,porte de la villette
METRO 7 1,Corentin Cariou,5,,corentin cariou
METRO 7 1,Crimée,6,,crimee
METRO 7 1,Riquet,7,,riquet
METRO 7 1,Stalingrad,8,"METRO 2, METRO 5",stalingrad
METRO 7 1,Louis Blanc,9,METRO 7BIS,louis blanc
METRO 7 1,Château-Landon,10,,chateau landon
METRO 7 1,Gare de l’Est,11,"METRO 4, METRO 5, RER E",gare de l'est
METRO 7 1,Poissonnière,12,,poissonniere
METRO 7 1,Cadet,13,,cadet
METRO 7 1,Le Peletier,14,,le peletier
METRO 7 1,Chaussée d’Antin – La Fayette,15,METRO 9,chaussee d'antin la fayette
METRO 7 1,Opéra,16,"METRO 3, METRO 8, RER A",opera
METRO 7 1,Pyramides,17,METRO 14,pyramides
METRO 7 1,Palais Royal – Musée du Louvre,18,METRO 1,palais royal musee du louvre
METRO 7 1,Pont Neuf,19,,pont neuf
METRO 7 1,Châtelet,20,"METRO 1, METRO 4, METRO 11, METRO 14, RER A, RER B, RER D",chatelet
METRO 7 1,Pont Marie,21,,pont marie
METRO 7 1,Sully – Morland,22,,sully morland
METRO 7 1,Jussieu,23,METRO 10,jussieu
METRO 7 1,Place Monge,24,,place monge
METRO 7 1,Censier – Daubenton,25,,censier daubenton
METRO 7 1,Les Gobelins,26,,les gobelins
METRO 7 1,Place d’Italie,27,"METRO 5, METRO 6",place d'italie
METRO 7 1,Tolbiac,28,,tolbiac
METRO 7 1,Maison Blanche,29,,maison blanche
METRO 7 1,Porte d’Italie,30,,porte d'italie
METRO 7 1,Porte de Choisy,31,,porte de choisy
METRO 7 1,Porte d’Ivry,32,,porte d'ivry
METRO 7 1,Pierre et Marie Curie,33,,pierre et marie curie
METRO 7 1,Mairie d’Ivry,34,,mairie d'ivry
METRO 7 2,La Courneuve – 8 Mai 1945,1,,la courneuve 8 mai 1945
METRO 7 2,Fort d’Aubervilliers,2,,fort d'aubervilliers
METRO 7 2,Aubervilliers – Pantin – Quatre Chemins,3,,aubervilliers pantin quatre chemins
METRO 7 2,Porte de la Villette,4,,porte de la villette
METRO 7 2,Corentin Cariou,5,,corentin cariou
METRO 7 2,Crimée,6,,crimee
METRO 7 2,Riquet,7,,riquet
METRO 7 2,Stalingrad,8,"METRO 2, METRO 5",stalingrad
METRO 7 2,Louis Blanc,9,METRO 7BIS,louis blanc
METRO 7 2,Château-Landon,10,,chateau landon
METRO 7 2,Gare de l’Est,11,"METRO 4, METRO 5, RER E",gare de l'est
METRO 7 2,Poissonnière,12,,poissonniere
METRO 7 2,Cadet,13,,cadet
METRO 7 2,Le Peletier,14,,le peletier
METRO 7 2,Chaussée d’Antin – La Fayette,15,METRO 9,chaussee d'antin la fayette
METRO 7 2,Opéra,16,"METRO 3, METRO 8, RER A",opera
METRO 7 2,Pyramides,17,METRO 14,pyramides
METRO 7 2,Palais Royal – Musée du Louvre,18,METRO 1,palais royal musee du louvre
METRO 7 2,Pont Neuf,19,,pont neuf
METRO 7 2,Châtelet,20,"METRO 1, METRO 4, METRO 11, METRO 14, RER A, RER B, RER D",chatelet
METRO 7 2,Pont Marie,21,,pont marie
METRO 7 2,Sully – Morland,22,,sully morland
METRO 7 2,Jussieu,23,METRO 10,jussieu
METRO 7 2,Place Monge,24,,place monge
METRO 7 2,Censier – Daubenton,25,,censier daubenton
METRO 7 2,Les Gobelins,26,,les gobelins
METRO 7 2,Place d’Italie,27,"METRO 5, METRO 6",place d'italie
METRO 7 2,Tolbiac,28,,tolbiac
METRO 7 2,Maison Blanche,29,,maison blanche
METRO 7 2,Porte d’Italie,30,,porte d'italie
METRO 7 2,Porte de Choisy,31,,porte de choisy
METRO 7 2,Porte d’Ivry,32,,porte d'ivry
METRO 7 2,Pierre et Marie Curie,33,,pierre et marie curie
METRO 7 2,Mairie d’Ivry,34,,mairie d'ivry
METRO 7 2,Le Kremlin – Bicêtre,35,,le kremlin bicetre
METRO 7 2,Villejuif – Léo Lagrange,36,,villejuif leo lagrange
METRO 7 2,Villejuif – Paul Vaillant – Couturier,37,,villejuif paul vaillant couturier
METRO 7 2,Villejuif – Louis Aragon,38,,villejuif louis aragon
METRO 8,Balard,1,,balard
METRO 8,Lourmel,2,,lourmel
METRO 8,Boulogne – Jean Jaurès,3,,boulogne jean jaures
METRO 8,Porte d’Auteuil,4,,porte d'auteuil
METRO 8,Michel-Ange – Molitor,5,METRO 9,michel ange molitor
METRO 8,Michel-Ange – Auteuil,6,METRO 10,michel ange auteuil
METRO 8,Javel,7,METRO 10,javel
METRO 8,Église d’Auteuil,8,,eglise d'auteuil
METRO 8,Charles Michels,9,,charles michels
METRO 8,La Motte-Picquet – Grenelle,10,"METRO 6, METRO 10, METRO 8",la motte picquet grenelle
METRO 8,École Militaire,11,,ecole militaire
METRO 8,La Tour-Maubourg,12,,la tour maubourg
METRO 8,Invalides,13,"METRO 8, METRO 13",invalides
METRO 8,Saint-François-Xavier,14,,saint francois xavier
METRO 8,Ségur,15,,segur
METRO 8,Duroc,16,"METRO 10, METRO 13",duroc
METRO 8,Vaneau,17,,vaneau
METRO 8,Saint-Placide,18,,saint placide
METRO 8,Sèvres – Babylone,19,"METRO 10, METRO 12",sevres babylone
METRO 8,Rennes,20,,rennes
METRO 8,Saint-Germain-des-Prés,21,,saint germain des pres
METRO 8,Odéon,22,"METRO 4, METRO 10",odeon
METRO 8,Cluny – La Sorbonne,23,,cluny la sorbonne
METRO 8,Maubert – Mutualité,24,,maubert mutualite
METRO 8,Jussieu,25,"METRO 7, METRO 10",jussieu
METRO 8,Sulpher – Morland,26,,sulpher morland
METRO 8,Place Monge,27,,place monge
METRO 8,Censier – Daubenton,28,,censier daubenton
METRO 8,Les Gobelins,29,,les gobelins
METRO 8,Place d’Italie,30,"METRO 5, METRO 6",place d'italie
METRO 8,Tolbiac,31,,tolbiac
METRO 8,Maison Blanche,32,,maison blanche
METRO 8,Porte d’Italie,33,,porte d'italie
METRO 9,Pont de Sèvres,1,,pont de sevres
METRO 9,Billancourt,2,,billancourt
METRO 9,Marcel Sembat,3,,marcel sembat
METRO 9,Porte de Saint-Cloud,4,,porte de saint cloud
METRO 9,Exelmans,5,,exelmans
METRO 9,Michel-Ange – Molitor,6,METRO 6,michel ange molitor
METRO 9,Michel-Ange – Auteuil,7,METRO 10,michel ange auteuil
METRO 9,Javel,8,METRO 10,javel
METRO 9,Église d’Auteuil,9,,eglise d'auteuil
METRO 9,La Muette,10,,la muette
METRO 9,Rue de la Pompe,11,,rue de la pompe
METRO 9,Trocadéro,12,METRO 6,trocadero
METRO 9,Iéna,13,,iena
METRO 9,Alma – Marceau,14,,alma marceau
METRO 9,Franklin D. Roosevelt,15,"METRO 1, METRO 9",franklin d. roosevelt
METRO 9,Saint-Philippe du Roule,16,,saint philippe du roule
METRO 9,Miromesnil,17,,miromesnil
METRO 9,Saint-Augustin,18,,saint augustin
METRO 9,Havre – Caumartin,19,"METRO 3, METRO 9",havre caumartin
METRO 9,Chaussée d’Antin – La Fayette,20,"METRO 3, METRO 9",chaussee d'antin la fayette
METRO 9,Richelieu – Drouot,21,,richelieu drouot
METRO 9,Grands Boulevards,22,,grands boulevards
METRO 9,Bonne Nouvelle,23,,bonne nouvelle
METRO 9,Strasbourg – Saint-Denis,24,"METRO 4, METRO 8, METRO 9, METRO 11",strasbourg saint denis
METRO 9,République,25,"METRO 3, METRO 5, METRO 8, METRO 9, METRO 11",republique
METRO 9,Oberkampf,26,,oberkampf
METRO 9,Saint-Ambroise,27,,saint ambroise
METRO 9,Rue Saint-Maur,28,,rue saint maur
METRO 9,Saint-Maur,29,,saint maur
METRO 9,Père Lachaise,30,"METRO 2, METRO 3BIS",pere lachaise
METRO 9,Buzenval,31,,buzenval
METRO 9,Maraîchers,32,,maraichers
METRO 9,Charonne,33,,charonne
METRO 9,Rue des Boulets,34,,rue des boulets
METRO 9,Nation,35,"RER A, METRO 1, METRO 2, METRO 6, METRO 9",nation
METRO 10,Boulogne – Pont de Saint-Cloud,1,,boulogne pont de saint cloud
METRO 10,Boulogne – Jean Jaurès,2,,boulogne jean jaures
METRO 10,Michel-Ange – Molitor,3,"METRO 6, METRO 9",michel ange molitor
METRO 10,Chardon Lagache,4,,chardon lagache
METRO 10,Église d'Auteuil,5,,eglise d'auteuil
METRO 10,Javel,6,METRO 8,javel
METRO 10,Avenue Émile Zola,7,,avenue emile zola
METRO 10,Charles Michels,8,,charles michels
METRO 10,École Militaire,9,,ecole militaire
METRO 10,La Tour-Maubourg,10,,la tour maubourg
METRO 10,Invalides,11,"METRO 8, METRO 13",invalides
METRO 10,Solférino,12,,solferino
METRO 10,Mabillon,13,,mabillon
METRO 10,Odéon,14,"METRO 4, METRO 10",odeon
METRO 10,Cluny – La Sorbonne,15,,cluny la sorbonne
METRO 10,Saint-Michel,16,"METRO 4, RER B, METRO 10",saint michel
METRO 10,Jussieu,17,"METRO 7, METRO 10",jussieu
METRO 10,Gare d'Austerlitz,18,METRO 5,gare d'austerlitz
METRO 10,Saint-Marcel,19,,saint marcel
METRO 10,Campo-Formio,20,,campo formio
METRO 10,Place d'Italie,21,"METRO 5, METRO 6, METRO 7",place d'italie
METRO 7BIS 1,Louis Blanc,1,METRO 7,louis blanc
METRO 7BIS 1,Jaurès,2,,jaures
METRO 7BIS 1,Bolivar,3,,bolivar
METRO 7BIS 1,Buttes Chaumont,4,,buttes chaumont
METRO 7BIS 1,Botzaris,5,,botzaris
METRO 7BIS 1,Danube,6,,danube
METRO 7BIS 1,Pré-Saint-Gervais,7,METRO 7,pre saint gervais
METRO 7BIS 1,Louis Blanc,7,METRO 7,louis blanc
METRO 7BIS 1,Jaurès,6,,jaures
METRO 7BIS 1,Bolivar,5,,bolivar
METRO 7BIS 1,Buttes Chaumont,4,,buttes chaumont
METRO 7BIS 1,Botzaris,3,,botzaris
METRO 7BIS 1,Place des Fêtes,2,METRO 11,place des fetes
METRO 7BIS 1,Pré-Saint-Gervais,1,METRO 7,pre saint gervais
METRO 11,Châtelet,1,"METRO 1, METRO 4, METRO 7, METRO 14, RER A, RER B, RER D",chatelet
METRO 11,Hôtel de Ville,2,"METRO 1, METRO 11",hotel de ville
METRO 11,Rambuteau,3,,rambuteau
METRO 11,Arts et Métiers,4,"METRO 3, METRO 11",arts et metiers
METRO 11,République,5,"METRO 3, METRO 5, METRO 8, METRO 9, METRO 11",republique
METRO 11,Goncourt,6,,goncourt
METRO 11,Belleville,7,"METRO 2, METRO 11",belleville
METRO 11,Pyrenees,8,,pyrenees
METRO 11,Jourdain,9,,jourdain
METRO 11,Télégraphe,10,,telegraphe
METRO 11,Porte des Lilas,11,,porte des lilas
METRO 11,Mairie des Lilas,12,,mairie des lilas
METRO 11,Serge Gainsbourg,13,,serge gainsbourg
METRO 11,Romainville – Carnot,14,,romainville carnot
METRO 11,Montreuil – Hôpital,15,,montreuil hopital
METRO 11,Robespierre,16,,robespierre
METRO 11,Croix de Chavaux,17,,croix de chavaux
METRO 11,Mairie de Montreuil,18,,mairie de montreuil
METRO 11,Rosny-Bois-Perrier,19,,rosny bois perrier
METRO 12,Mairie d'Aubervilliers,1,,mairie d'aubervilliers
METRO 12,Aimé Césaire,2,,aime cesaire
METRO 12,Front Populaire,3,,front populaire
METRO 12,Porte de la Chapelle,4,,porte de la chapelle
METRO 12,Marcadet – Poissonniers,5,,marcadet poissonniers
METRO 12,Jules Joffrin,6,,jules joffrin
METRO 12,Lamarck – Caulaincourt,7,,lamarck caulaincourt
METRO 12,Abbesses,8,,abbesses
METRO 12,Pigalle,9,"METRO 2, METRO 12",pigalle
METRO 12,Saint-Georges,10,,saint georges
METRO 12,Notre-Dame-de-Lorette,11,,notre dame de lorette
METRO 12,Trinité – d'Estienne d'Orves,12,,trinite d'estienne d'orves
METRO 12,Saint-Lazare,13,"METRO 3, METRO 12, METRO 13, RER E",saint lazare
METRO 12,Madeleine,14,"METRO 8, METRO 12, METRO 14",madeleine
METRO 12,Concorde,15,"METRO 1, METRO 8, METRO 12",concorde
METRO 12,Assemblée Nationale,16,,assemblee nationale
METRO 12,Solférino,17,,solferino
METRO 12,Rue du Bac,18,,rue du bac
METRO 12,Sèvres – Babylone,19,"METRO 10, METRO 12",sevres babylone
METRO 12,Rennes,20,,rennes
METRO 12,Notre-Dame-des-Champs,21,,notre dame des champs
METRO 12,Montparnasse – Bienvenüe,22,"METRO 4, METRO 6, METRO 12, METRO 13",montparnasse bienvenue
METRO 12,Falguière,23,,falguiere
METRO 12,Pasteur,24,,pasteur
METRO 12,Volontaires,25,,volontaires
METRO 12,Vaugirard,26,,vaugirard
METRO 12,Convention,27,,convention
METRO 12,Plaisance,28,,plaisance
METRO 12,Porte de Vanves,29,,porte de vanves
METRO 12,Malakoff – Plateau de Vanves,30,,malakoff plateau de vanves
METRO 12,Malakoff – Rue Étienne Dolet,31,,malakoff rue etienne dolet
METRO 12,Châtillon – Montrouge,32,,chatillon montrouge
METRO 13 1,Saint-Denis Université,1,,saint denis universite
METRO 13 1,Saint-Denis Porte de Paris,2,,saint denis porte de paris
METRO 13 1,Basilique de Saint-Denis,3,,basilique de saint denis
METRO 13 1,Saint-Ouen,4,METRO 14,saint ouen
METRO 13 1,Mairie de Saint-Ouen,5,,mairie de saint ouen
METRO 13 1,Garibaldi,6,,garibaldi
METRO 13 1,Porte de Clignancourt,7,,porte de clignancourt
METRO 13 1,Porte de Clichy,8,"METRO 13, METRO 14",porte de clichy
METRO 13 1,La Fourche,9,,la fourche
METRO 13 1,Place de Clichy,10,"METRO 2, METRO 13",place de clichy
METRO 13 1,Saint-Lazare,11,"METRO 3, METRO 12, METRO 13, RER E",saint lazare
METRO 13 1,Miromesnil,12,"METRO 9, METRO 13",miromesnil
METRO 13 1,Saint-François-Xavier,13,,saint francois xavier
METRO 13 1,Duroc,14,"METRO 10, METRO 13",duroc
METRO 13 1,Montparnasse – Bienvenüe,15,"METRO 4, METRO 6, METRO 12, METRO 13",montparnasse bienvenue
METRO 13 1,Gaîté,16,,gaite
METRO 13 1,Pernety,17,,pernety
METRO 13 1,Plaisance,18,,plaisance
METRO 13 1,Porte de Vanves,19,,porte de vanves
METRO 13 1,Porte de Versailles,20,,porte de versailles
METRO 13 1,Corentin Celton,21,,corentin celton
METRO 13 1,Mairie de Vanves,22,,mairie de vanves
METRO 13 1,Malakoff – Rue Étienne Dolet,23,,malakoff rue etienne dolet
METRO 13 1,Bagneux,24,,bagneux
METRO 13 1,Bagneux – Lucie Aubrac,25,,bagneux lucie aubrac
METRO 13 1,Fontenay-aux-Roses,26,,fontenay aux roses
METRO 13 1,Châtillon – Montrouge,27,,chatillon montrouge
METRO 13 2,Saint-Denis Université,1,,saint denis universite
METRO 13 2,Saint-Denis Porte de Paris,2,,saint denis porte de paris
METRO 13 2,Basilique de Saint-Denis,3,,basilique de saint denis
METRO 13 2,Saint-Ouen,4,METRO 14,saint ouen
METRO 13 2,Mairie de Saint-Ouen,5,,mairie de saint ouen
METRO 13 2,Garibaldi,6,,garibaldi
METRO 13 2,Porte de Clignancourt,7,,porte de clignancourt
METRO 13 2,Porte de Clichy,8,"METRO 13, METRO 14",porte de clichy
METRO 13 2,La Fourche,9,,la fourche
METRO 13 2,Place de Clichy,10,"METRO 2, METRO 13",place de clichy
METRO 13 2,Saint-Lazare,11,"METRO 3, METRO 12, METRO 13, RER E",saint lazare
METRO 13 2,Les Agnettes,12,,les agnettes
METRO 13 2,Gabriel Péri,13,,gabriel peri
METRO 13 2,Asnières – Gennevilliers,14,,asnieres gennevilliers
METRO 13 2,Les Courtilles,15,,les courtilles
METRO 14,Saint-Denis – Pleyel,1,,saint denis pleyel
METRO 14,Mairie de Saint-Ouen,2,,mairie de saint ouen
METRO 14,Saint-Ouen,3,,saint ouen
METRO 14,Porte de Clichy,4,,porte de clichy
METRO 14,Saint-Lazare,5,"METRO 3, METRO 12, METRO 13, RER E",saint lazare
METRO 14,Madeleine,6,"METRO 8, METRO 12, METRO 14",madeleine
METRO 14,Pyramides,7,"METRO 7, METRO 14",pyramides
METRO 14,Châtelet,8,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER A, RER B, RER D",chatelet
METRO 14,Gare de Lyon,9,"METRO 1, METRO 14, RER A, RER D",gare de lyon
METRO 14,Bercy,10,,bercy
METRO 14,Cour Saint-Émilion,11,,cour saint emilion
METRO 14,Bibliothèque François Mitterrand,12,METRO 14,bibliotheque francois mitterrand
METRO 14,Olympiades,13,,olympiades
METRO 14,Maison Blanche,14,,maison blanche
METRO 14,Hôpital Bicêtre,15,,hopital bicetre
METRO 14,Villejuif – Gustave Roussy,16,,villejuif gustave roussy
METRO 14,L'Haÿ-les-Roses,17,,l'hay les roses
METRO 14,Chevilly-Larue,18,,chevilly larue
METRO 14,Thiais – Orly,19,,thiais orly
METRO 14,Aéroport d’Orly,20,RER C,aeroport d'orly
