ligne,station,ordre,correspondance,station_norm,station_key,main_line,affluence_score
RER B 2,Villeparisis Mitry le Neuf,2,,villeparisis mitry le neuf,villeparisis mitry le neuf,RER B,0.31886460000000005
RER B 2,Vert Galant,3,,vert galant,vert galant,RER B,0.35429400000000005
RER B 2,Sevran Livry,4,,sevran livry,sevran livry,RER B,0.39366000000000007
RER B 2,Aulnay sous Bois,5,,aulnay sous bois,aulnay sous bois,RER B,0.43740000000000007
RER B 2,Le Blanc Mesnil,6,,le blanc mesnil,le blanc mesnil,RER B,0.48600000000000004
RER B 2,Drancy,7,,drancy,drancy,RER B,0.54
RER B 2,Le Bourget,8,,le bourget,le bourget,RER B,0.54
RER B 2,La Courneuve Aubervilliers,9,,la courneuve aubervilliers,la courneuve aubervilliers,RER B,0.48600000000000004
RER B 2,La Plaine – Stade de France – Saint Denis – Aubervilliers,10,,la plaine stade de france saint denis aubervilliers,la plaine stade de france saint denis aubervilliers,RER B,0.43740000000000007
RER B 2,Paris Nord,11,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord,gare du nord,RER B,1.0
RER B 2,Châtelet – Les Halles,12,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles,chatelet,RER B,0.95
RER B 2,Saint-Michel Notre Dame,13,"RER C, METRO 10",saint michel notre dame,saint michel,RER B,0.63
RER B 2,Luxembourg Sénat,14,,luxembourg senat,luxembourg senat,RER B,0.5670000000000001
RER B 2,Port Royal,15,,port royal,port royal,RER B,0.5103000000000001
RER B 2,Denfert Rochereau – Colonel Rol-Tanguy,16,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy,denfert rochereau colonel rol tanguy,RER B,0.75
RER B 2,Cité Universitaire,17,,cite universitaire,cite universitaire,RER B,0.675
RER B 2,Gentilly,18,,gentilly,gentilly,RER B,0.6075
RER B 2,Laplace – Maison des Examens,19,,laplace maison des examens,laplace maison des examens,RER B,0.5467500000000001
RER B 2,Arcueil Cachan,20,,arcueil cachan,arcueil cachan,RER B,0.4920750000000001
RER B 2,Bagneux,21,,bagneux,bagneux,RER B,0.54
RER B 2,Bourg la Reine,22,,bourg la reine,bourg la reine,RER B,0.48600000000000004
RER B 2,Sceaux,23,,sceaux,sceaux,RER B,0.43740000000000007
RER B 2,Fontenay aux Roses,24,,fontenay aux roses,fontenay aux roses,RER B,0.54
RER B 2,Robinson,25,,robinson,robinson,RER B,0.48600000000000004
RER B 3,Aéroport Charles de Gaulle 2 TGV,1,,aeroport charles de gaulle 2 tgv,aeroport charles de gaulle 2 tgv,RER B,0.25828032600000006
RER B 3,Aéroport Charles de Gaulle 1,2,,aeroport charles de gaulle 1,aeroport charles de gaulle 1,RER B,0.28697814000000005
RER B 3,Parc des expositions,3,,parc des expositions,parc des expositions,RER B,0.31886460000000005
RER B 3,Villepinte,4,,villepinte,villepinte,RER B,0.35429400000000005
RER B 3,Sevran Beaudottes,5,,sevran beaudottes,sevran beaudottes,RER B,0.39366000000000007
RER B 3,Aulnay sous Bois,6,,aulnay sous bois,aulnay sous bois,RER B,0.43740000000000007
RER B 3,Le Blanc Mesnil,7,,le blanc mesnil,le blanc mesnil,RER B,0.48600000000000004
RER B 3,Drancy,8,,drancy,drancy,RER B,0.54
RER B 3,Le Bourget,9,,le bourget,le bourget,RER B,0.54
RER B 3,La Courneuve Aubervilliers,10,,la courneuve aubervilliers,la courneuve aubervilliers,RER B,0.48600000000000004
RER B 3,La Plaine – Stade de France – Saint Denis – Aubervilliers,11,,la plaine stade de france saint denis aubervilliers,la plaine stade de france saint denis aubervilliers,RER B,0.43740000000000007
RER B 3,Paris Nord,12,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord,gare du nord,RER B,1.0
RER B 3,Châtelet – Les Halles,13,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles,chatelet,RER B,0.95
RER B 3,Saint-Michel Notre Dame,14,"RER C, METRO 10",saint michel notre dame,saint michel,RER B,0.63
RER B 3,Luxembourg Sénat,15,,luxembourg senat,luxembourg senat,RER B,0.5670000000000001
RER B 3,Port Royal,16,,port royal,port royal,RER B,0.5103000000000001
RER B 3,Denfert Rochereau – Colonel Rol-Tanguy,17,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy,denfert rochereau colonel rol tanguy,RER B,0.75
RER B 3,Cité Universitaire,18,,cite universitaire,cite universitaire,RER B,0.675
RER B 3,Gentilly,19,,gentilly,gentilly,RER B,0.6075
RER B 3,Laplace – Maison des Examens,20,,laplace maison des examens,laplace maison des examens,RER B,0.5467500000000001
RER B 3,Arcueil Cachan,21,,arcueil cachan,arcueil cachan,RER B,0.4920750000000001
RER B 3,Bagneux,22,,bagneux,bagneux,RER B,0.54
RER B 3,Bourg la Reine,23,,bourg la reine,bourg la reine,RER B,0.48600000000000004
RER B 3,Parc de Sceaux,24,,parc de sceaux,sceaux,RER B,0.43740000000000007
RER B 3,La Croix de Berny,25,,la croix de berny,la croix de berny,RER B,0.39366000000000007
RER B 3,Antony – Orly,26,,antony orly,antony orly,RER B,0.35429400000000005
RER B 3,Fontaine Michalon,27,,fontaine michalon,fontaine michalon,RER B,0.31886460000000005
RER B 3,Les Baconnets,28,,les baconnets,les baconnets,RER B,0.28697814000000005
RER B 3,Massy Verrières,29,RER C,massy verrieres,massy verrieres,RER B,0.54
RER B 3,Massy Palaiseau,30,RER C,massy palaiseau,massy,RER B,0.6
RER B 3,Palaiseau,31,,palaiseau,palaiseau,RER B,0.54
RER B 3,Palaiseau Villebon,32,,palaiseau villebon,palaiseau villebon,RER B,0.48600000000000004
RER B 3,Lozère École Polytechnique,33,,lozere ecole polytechnique,lozere ecole polytechnique,RER B,0.43740000000000007
RER B 3,Le Guichet,34,,le guichet,le guichet,RER B,0.39366000000000007
RER B 3,Orsay Ville,35,,orsay ville,orsay ville,RER B,0.35429400000000005
RER B 3,Bures sur Yvette,36,,bures sur yvette,bures sur yvette,RER B,0.31886460000000005
RER B 3,La Hacquinière,37,,la hacquiniere,la hacquiniere,RER B,0.28697814000000005
RER B 3,Gif sur Yvette,38,,gif sur yvette,gif sur yvette,RER B,0.25828032600000006
RER B 3,Courcelle sur Yvette,39,,courcelle sur yvette,courcelle sur yvette,RER B,0.23245229340000007
RER B 3,Saint-Rémy lès Chevreuse,40,,saint remy les chevreuse,saint remy les chevreuse,RER B,0.20920706406000006
RER B 4,Mitry Claye,1,,mitry claye,mitry claye,RER B,0.28697814000000005
RER B 4,Villeparisis Mitry le Neuf,2,,villeparisis mitry le neuf,villeparisis mitry le neuf,RER B,0.31886460000000005
RER B 4,Vert Galant,3,,vert galant,vert galant,RER B,0.35429400000000005
RER B 4,Sevran Livry,4,,sevran livry,sevran livry,RER B,0.39366000000000007
RER B 4,Aulnay sous Bois,5,,aulnay sous bois,aulnay sous bois,RER B,0.43740000000000007
RER B 4,Le Blanc Mesnil,6,,le blanc mesnil,le blanc mesnil,RER B,0.48600000000000004
RER B 4,Drancy,7,,drancy,drancy,RER B,0.54
RER B 4,Le Bourget,8,,le bourget,le bourget,RER B,0.54
RER B 4,La Courneuve Aubervilliers,9,,la courneuve aubervilliers,la courneuve aubervilliers,RER B,0.48600000000000004
RER B 4,La Plaine – Stade de France – Saint Denis – Aubervilliers,10,,la plaine stade de france saint denis aubervilliers,la plaine stade de france saint denis aubervilliers,RER B,0.43740000000000007
RER B 4,Paris Nord,11,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord,gare du nord,RER B,1.0
RER B 4,Châtelet – Les Halles,12,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles,chatelet,RER B,0.95
RER B 4,Saint-Michel Notre Dame,13,"RER C, METRO 10",saint michel notre dame,saint michel,RER B,0.63
RER B 4,Luxembourg Sénat,14,,luxembourg senat,luxembourg senat,RER B,0.5670000000000001
RER B 4,Port Royal,15,,port royal,port royal,RER B,0.5103000000000001
RER B 4,Denfert Rochereau – Colonel Rol-Tanguy,16,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy,denfert rochereau colonel rol tanguy,RER B,0.75
RER B 4,Cité Universitaire,17,,cite universitaire,cite universitaire,RER B,0.675
RER B 4,Gentilly,18,,gentilly,gentilly,RER B,0.6075
RER B 4,Laplace – Maison des Examens,19,,laplace maison des examens,laplace maison des examens,RER B,0.5467500000000001
RER B 4,Arcueil Cachan,20,,arcueil cachan,arcueil cachan,RER B,0.4920750000000001
RER B 4,Bagneux,21,,bagneux,bagneux,RER B,0.54
RER B 4,Bourg la Reine,22,,bourg la reine,bourg la reine,RER B,0.48600000000000004
RER B 4,Parc de Sceaux,23,,parc de sceaux,sceaux,RER B,0.43740000000000007
RER B 4,La Croix de Berny,24,,la croix de berny,la croix de berny,RER B,0.39366000000000007
RER B 4,Antony – Orly,25,,antony orly,antony orly,RER B,0.35429400000000005
RER B 4,Fontaine Michalon,26,,fontaine michalon,fontaine michalon,RER B,0.31886460000000005
RER B 4,Les Baconnets,27,,les baconnets,les baconnets,RER B,0.28697814000000005
RER B 4,Massy Verrières,28,RER C,massy verrieres,massy verrieres,RER B,0.54
RER B 4,Massy Palaiseau,29,RER C,massy palaiseau,massy,RER B,0.6
RER B 4,Palaiseau,30,,palaiseau,palaiseau,RER B,0.54
RER B 4,Palaiseau Villebon,31,,palaiseau villebon,palaiseau villebon,RER B,0.48600000000000004
RER B 4,Lozère École Polytechnique,32,,lozere ecole polytechnique,lozere ecole polytechnique,RER B,0.43740000000000007
RER B 4,Le Guichet,33,,le guichet,le guichet,RER B,0.39366000000000007
RER B 4,Orsay Ville,34,,orsay ville,orsay ville,RER B,0.35429400000000005
RER B 4,Bures sur Yvette,35,,bures sur yvette,bures sur yvette,RER B,0.31886460000000005
RER B 4,La Hacquinière,36,,la hacquiniere,la hacquiniere,RER B,0.28697814000000005
RER B 4,Gif sur Yvette,37,,gif sur yvette,gif sur yvette,RER B,0.25828032600000006
