gare_key,nom_so_gar,latitude,longitude
coulommiers,Coulommiers,48.80786914008054,3.081648526077241
breval,Bréval,48.94345963288564,1.5417749316626164
champbenoist poigny,Champbenoist-Poigny,48.545296265858845,3.286679528098301
la frette montigny,La Frette-Montigny,48.979887167643504,2.1803421469117485
chezy sur marne,Chézy-sur-Marne,48.991889160257294,3.364379893535808
epinay villetaneuse,Épinay Villetaneuse,48.95900165546215,2.3283518828743333
conflans fin d'oise,Conflans-Fin-d'Oise,48.99033259105296,2.073955308732424
conflans fin d'oise,Conflans-Fin-d'Oise,48.99033252838146,2.0739471888196928
laroche migennes,Laroche-Migennes,47.960888145584505,3.512888761289445
alexandre dumas,Alexandre Dumas,48.85622809125615,2.3946756547920462
buzenval,Buzenval,48.85197520932561,2.401927284511547
censier daubenton,Censier-Daubenton,48.84023383632875,2.3516064753021904
chateau rouge,Château Rouge,48.88671096804134,2.349559430194618
corentin cariou,Corentin Cariou,48.89465585833331,2.382160158371538
jaures,Jaurès,48.883193321300105,2.371933128614294
la motte picquet grenelle,La Motte Picquet-Grenelle,48.84957521390955,2.298625127144874
stalingrad,Stalingrad,48.88432566304799,2.3673720385654686
saint augustin,Saint-Augustin,48.87447567664767,2.322001788877926
billancourt,Billancourt,48.83173796437048,2.2374367869806067
charonne,Charonne,48.855094494476994,2.384699760132844
richelieu drouot,Richelieu-Drouot,48.87169298457071,2.338463081008744
bonne nouvelle,Bonne Nouvelle,48.87059047801112,2.348491131078989
esplanade de la defense,Esplanade de la Défense,48.88813847761218,2.249792769009765
adrienne bolland,Adrienne Bolland,48.872097029931695,2.40862005517699
dugny la courneuve,Dugny - La Courneuve,48.94393432566968,2.411121754896824
angelique compoint,Angélique Compoint,48.89783032629845,2.3382304271335834
coeur d'orly,Coeur d'Orly,48.7336993470907,2.371412538219709
epinettes pouchet,Épinettes - Pouchet,48.89754933179902,2.3249055851394216
bagneux lucie aubrac,Bagneux - Lucie Aubrac,48.80363023251622,2.3180536133374328
mairie d'aubervilliers,Mairie d'Aubervilliers,48.913710545549606,2.380735606395094
allee royale,Allée Royale,48.81564572892323,2.0788334686892225
saint nom la breteche foret de marly,Saint-Nom La Bretèche - Forêt de Marly,48.8679501427926,2.0508259503050965
malabry,Malabry,48.76932378942164,2.249652962862064
cite jardin,Cité-Jardin,48.76556476446966,2.259576114866507
lavallee,LaVallée,48.76142385263188,2.290444727862659
champlan,Champlan,48.70854821544341,2.280123756150529
gravigny balizy,Gravigny-Balizy,48.68571362596709,2.317626404411973
epinay sur orge,Épinay-sur-Orge,48.67063926645666,2.335359426259652
bois briard,Bois Briard,48.622133794575866,2.415448100577441
chaville rive droite,Chaville Rive Droite,48.81257171717767,2.188259860000294
porte maillot,Porte Maillot,48.87793268655634,2.282976188020842
esbly,Esbly,48.90307291510794,2.810248220730061
bouffemont moisselles,Bouffémont-Moisselles,49.045169460276206,2.3229178462271083
boissy saint leger,Boissy-Saint-Léger,48.75218572078873,2.504559838342837
crouy sur ourcq,Crouy-sur-Ourcq,49.09188299627487,3.0626904069870564
ablon,Ablon,48.7255353048612,2.4195650243879334
aeroport charles de gaulle 1,Aéroport Charles De Gaulle 1,49.009756452138376,2.5612326952251063
arcueil cachan,Arcueil-Cachan,48.79889250008068,2.328136923064751
aulnay sous bois,Aulnay-sous-Bois,48.93219600596196,2.495513142584314
bagneaux sur loing,Bagneaux-sur-Loing,48.22954993747097,2.7039360529619154
bellevue,Bellevue,48.81894780093774,2.2298080037295134
belloy saint martin,Belloy-Saint-Martin,49.09840026247686,2.3612705552410564
beynes,Beynes,48.859998730438754,1.875595590302068
le coudray montceaux,Le Coudray-Montceaux,48.56611782073621,2.492713002881577
crecy la chapelle,Crécy-la-Chapelle,48.8595573168744,2.9057369645485345
emerainville pontault combault,Émerainville-Pontault-Combault,48.80584078961123,2.619194412455653
